N;M;Output
100000;64;96606
100000;64;108342
100000;64;93133
100000;64;106356
100000;64;89992
100000;64;102478
100000;64;92287
100000;64;118965
100000;64;90371
100000;64;89814
100000;64;91428
100000;64;114637
100000;64;94109
100000;64;99160
100000;64;115383
100000;64;105961
100000;64;127068
100000;64;120724
100000;64;80546
100000;64;115174
100000;64;96760
100000;64;118094
100000;64;116455
100000;64;115322
100000;64;96277
100000;64;104706
100000;64;109676
100000;64;101715
100000;64;78943
100000;64;119483
100000;64;99770
100000;64;95612
100000;64;106227
100000;64;109898
100000;64;101715
100000;64;113441
100000;64;89437
100000;64;104421
100000;64;88894
100000;64;86941
100000;64;116531
100000;64;88894
100000;64;88728
100000;64;101390
100000;64;98799
100000;64;90258
100000;64;102634
100000;64;126388
100000;64;116960
100000;64;116128
100000;64;99160
100000;64;89217
100000;64;108756
100000;64;97425
100000;64;100587
100000;64;78646
100000;64;96125
100000;64;108760
100000;64;106225
100000;64;92929
100000;64;104164
100000;64;120380
100000;64;129968
100000;64;84176
100000;64;90564
100000;64;89772
100000;64;81043
100000;64;94065
100000;64;98138
100000;64;93020
100000;64;115813
100000;64;95182
100000;64;121941
100000;64;95492
100000;64;104107
100000;64;104164
100000;64;101797
100000;64;99640
100000;64;89055
100000;64;82932
100000;64;113661
100000;64;96594
100000;64;108281
100000;64;90710
100000;64;120119
100000;64;100042
100000;64;102897
100000;64;97497
100000;64;114439
100000;64;105287
100000;64;95822
100000;64;99211
100000;64;119558
100000;64;86237
100000;64;89447
100000;64;83185
100000;64;95265
100000;64;97986
100000;64;100867
100000;64;120590
100000;64;102317
100000;64;108620
100000;64;120896
100000;64;90232
100000;64;101390
100000;64;96828
100000;64;137879
100000;64;99483
100000;64;73263
100000;64;130029
100000;64;87808
100000;64;102813
100000;64;98627
100000;64;93660
100000;64;100464
100000;64;92287
100000;64;111957
100000;64;78935
100000;64;81181
100000;64;114258
100000;64;113897
100000;64;114671
100000;64;87666
100000;64;86354
100000;64;115414
100000;64;95492
100000;64;108104
100000;64;86266
100000;64;90443
100000;64;95853
100000;64;97829
100000;64;116317
100000;64;92590
100000;64;92466
100000;64;82923
100000;64;103082
100000;64;109747
100000;64;92343
100000;64;107974
100000;64;91346
100000;64;108419
100000;64;109558
100000;64;114430
100000;64;82778
100000;64;95170
100000;64;101959
100000;64;86551
100000;64;91281
100000;64;78017
100000;64;114156
100000;64;95346
100000;64;82109
100000;64;88021
100000;64;95744
100000;64;77703
100000;64;111539
100000;64;108923
100000;64;109597
100000;64;97397
100000;64;84967
100000;64;97898
100000;64;100880
100000;64;116264
100000;64;98328
100000;64;104478
100000;64;100289
100000;64;99056
100000;64;81440
100000;64;83725
100000;64;89595
100000;64;101292
100000;64;108373
100000;64;87596
100000;64;112453
100000;64;78960
100000;64;96435
100000;64;100421
100000;64;119906
100000;64;88737
100000;64;83367
100000;64;90818
100000;64;100894
100000;64;100164
100000;64;97822
100000;64;99451
100000;64;109048
100000;64;92923
100000;64;120839
100000;64;83459
100000;64;115296
100000;64;105491
100000;64;79603
100000;64;98619
100000;64;78190
100000;64;110704
100000;64;82216
100000;64;130951
100000;64;97183
100000;64;86708
100000;64;85749
100000;64;106883
100000;64;121941
100000;64;140726
100000;64;99940
100000;64;102447
100000;64;102097
100000;64;88307
100000;64;135572
100000;64;90845
100000;64;98569
100000;64;94146
100000;64;94708
100000;64;89880
100000;64;88225
100000;64;105747
100000;64;84529
100000;64;113687
100000;64;96240
100000;64;86698
100000;64;83946
100000;64;111908
100000;64;94030
100000;64;134448
100000;64;99406
100000;64;95489
100000;64;108618
100000;64;102869
100000;64;93252
100000;64;93932
100000;64;93706
100000;64;111867
100000;64;100415
100000;64;107153
100000;64;130665
100000;64;93660
100000;64;101470
100000;64;108296
100000;64;100322
100000;64;100058
100000;64;120475
100000;64;84571
100000;64;97999
100000;64;113983
100000;64;119399
100000;64;74847
100000;64;78798
100000;64;85520
100000;64;90775
100000;64;94992
100000;64;91062
100000;64;102530
100000;64;90650
100000;64;94077
100000;64;101539
100000;64;108142
100000;64;134412
100000;64;108931
100000;64;101485
100000;64;90018
100000;64;93345
100000;64;100111
100000;64;113899
100000;64;90553
100000;64;94321
100000;64;108667
100000;64;85291
100000;64;86062
100000;64;96545
100000;64;145798
100000;64;109684
100000;64;91442
100000;64;96557
100000;64;118231
100000;64;121919
100000;64;111213
100000;64;89790
100000;64;103724
100000;64;93519
100000;64;92142
100000;64;93978
100000;64;91511
100000;64;104333
100000;64;78258
100000;64;98074
100000;64;101715
100000;64;81853
100000;64;82626
100000;64;76096
100000;64;103400
100000;64;112532
100000;64;91820
100000;64;104335
100000;64;100322
100000;64;91215
100000;64;105550
100000;64;91852
100000;64;123604
100000;64;90521
100000;64;124087
100000;64;100151
100000;64;81138
100000;64;82859
100000;64;121494
100000;64;83349
100000;64;99509
100000;64;102125
100000;64;96766
100000;64;103611
100000;64;100987
100000;64;82751
100000;64;112300
100000;64;106164
100000;64;93613
100000;64;122688
100000;64;88853
100000;64;68790
100000;64;103590
100000;64;78262
100000;64;144906
100000;64;111522
100000;64;85751
100000;64;81494
100000;64;106435
100000;64;73828
100000;64;106256
100000;64;86906
100000;64;86354
100000;64;85655
100000;64;101390
100000;64;107786
100000;64;95016
100000;64;103169
100000;64;80888
100000;64;102565
100000;64;111760
100000;64;114550
100000;64;96118
100000;64;106688
100000;64;123865
100000;64;86354
100000;64;81225
100000;64;101756
100000;64;110383
100000;64;108838
100000;64;105220
100000;64;97099
100000;64;104622
100000;64;98992
100000;64;93088
100000;64;124860
100000;64;93051
100000;64;91434
100000;64;94909
100000;64;82180
100000;64;126517
100000;64;94356
100000;64;86807
100000;64;101485
100000;64;117280
100000;64;77058
100000;64;87085
100000;64;102282
100000;64;96655
100000;64;97378
100000;64;94484
100000;64;116799
100000;64;100216
100000;64;93305
100000;64;101188
100000;64;94826
100000;64;88286
100000;64;100865
100000;64;94298
100000;64;121688
100000;64;93660
100000;64;94797
100000;64;103759
100000;64;97149
100000;64;108760
100000;64;110560
100000;64;83440
100000;64;91687
100000;64;115017
100000;64;111629
100000;64;97173
100000;64;95194
100000;64;118121
100000;64;100900
100000;64;103979
100000;64;115541
100000;64;113704
100000;64;99796
100000;64;124799
100000;64;98857
100000;64;68232
100000;64;115607
100000;64;108986
100000;64;105813
100000;64;109589
100000;64;91214
100000;64;114637
100000;64;101580
100000;64;131930
100000;64;90669
100000;64;89227
100000;64;89102
100000;64;112736
100000;64;97810
100000;64;93983
100000;64;94614
100000;64;96901
100000;64;96803
100000;64;98024
100000;64;134471
100000;64;85463
100000;64;105026
100000;64;82127
100000;64;102565
100000;64;121664
100000;64;97873
100000;64;93741
100000;64;95919
100000;64;96557
100000;64;74904
100000;64;87772
100000;64;76470
100000;64;77592
100000;64;77910
100000;64;97416
100000;64;116871
100000;64;119455
100000;64;94556
100000;64;88276
100000;64;121320
100000;64;110064
100000;64;89186
100000;64;74539
100000;64;124244
100000;64;118323
100000;64;64887
100000;64;99953
100000;64;102310
100000;64;82216
100000;64;99718
100000;64;77348
100000;64;93373
100000;64;101014
100000;64;82662
100000;64;91302
100000;64;113873
100000;64;92522
100000;64;101661
100000;64;92343
100000;64;93703
100000;64;134424
100000;64;91886
100000;64;89690
100000;64;93683
100000;64;97093
100000;64;103527
100000;64;110160
100000;64;107183
100000;64;105025
100000;64;93333
100000;64;126644
100000;64;91538
100000;64;112296
100000;64;104993
