N;M;Output
100000;128;103415
100000;128;100404
100000;128;111064
100000;128;99345
100000;128;97556
100000;128;111961
100000;128;94240
100000;128;127307
100000;128;98321
100000;128;97730
100000;128;107471
100000;128;118814
100000;128;96146
100000;128;124417
100000;128;112659
100000;128;88257
100000;128;99888
100000;128;93546
100000;128;91093
100000;128;92337
100000;128;89931
100000;128;112261
100000;128;92370
100000;128;109186
100000;128;98211
100000;128;107854
100000;128;95074
100000;128;111000
100000;128;114441
100000;128;105006
100000;128;98393
100000;128;98413
100000;128;101596
100000;128;115592
100000;128;95494
100000;128;91797
100000;128;99188
100000;128;99684
100000;128;89573
100000;128;106476
100000;128;107886
100000;128;106594
100000;128;112161
100000;128;91845
100000;128;99285
100000;128;118247
100000;128;113792
100000;128;100093
100000;128;93978
100000;128;99110
100000;128;92875
100000;128;96393
100000;128;104873
100000;128;106535
100000;128;94096
100000;128;105290
100000;128;101559
100000;128;98788
100000;128;93302
100000;128;97615
100000;128;107339
100000;128;84494
100000;128;92876
100000;128;82034
100000;128;108003
100000;128;121616
100000;128;104877
100000;128;84948
100000;128;106580
100000;128;105359
100000;128;119159
100000;128;94519
100000;128;106235
100000;128;104378
100000;128;93794
100000;128;85710
100000;128;91760
100000;128;102689
100000;128;96257
100000;128;90535
100000;128;86018
100000;128;102840
100000;128;94921
100000;128;89216
100000;128;96206
100000;128;96275
100000;128;100921
100000;128;90819
100000;128;108938
100000;128;114271
100000;128;100551
100000;128;91367
100000;128;102307
100000;128;101014
100000;128;103200
100000;128;102402
100000;128;100327
100000;128;87007
100000;128;118374
100000;128;104187
100000;128;91136
100000;128;101852
100000;128;92382
100000;128;111419
100000;128;94650
100000;128;109108
100000;128;93183
100000;128;108707
100000;128;107354
100000;128;101478
100000;128;89107
100000;128;102518
100000;128;89883
100000;128;97569
100000;128;90857
100000;128;121454
100000;128;83470
100000;128;90755
100000;128;90760
100000;128;93157
100000;128;108914
100000;128;103770
100000;128;86580
100000;128;92229
100000;128;111419
100000;128;102034
100000;128;83870
100000;128;96983
100000;128;84453
100000;128;108469
100000;128;92918
100000;128;87518
100000;128;101854
100000;128;125369
100000;128;109139
100000;128;95690
100000;128;87848
100000;128;88685
100000;128;103311
100000;128;102675
100000;128;123763
100000;128;101281
100000;128;109450
100000;128;100433
100000;128;113058
100000;128;98058
100000;128;96180
100000;128;95073
100000;128;101465
100000;128;95370
100000;128;93517
100000;128;98990
100000;128;85240
100000;128;88634
100000;128;108339
100000;128;101063
100000;128;110657
100000;128;105689
100000;128;109575
100000;128;96235
100000;128;98320
100000;128;92677
100000;128;110370
100000;128;101097
100000;128;103434
100000;128;93443
100000;128;109093
100000;128;95595
100000;128;93834
100000;128;101692
100000;128;103307
100000;128;89678
100000;128;93424
100000;128;100678
100000;128;105052
100000;128;102978
100000;128;97559
100000;128;82744
100000;128;96369
100000;128;96922
100000;128;102679
100000;128;91686
100000;128;92515
100000;128;104364
100000;128;112241
100000;128;107165
100000;128;100928
100000;128;103429
100000;128;103379
100000;128;96870
100000;128;112676
100000;128;106204
100000;128;103151
100000;128;96103
100000;128;109240
100000;128;103631
100000;128;87618
100000;128;106240
100000;128;82202
100000;128;87503
100000;128;97451
100000;128;106115
100000;128;100165
100000;128;111121
100000;128;107010
100000;128;99274
100000;128;95592
100000;128;96800
100000;128;93622
100000;128;106130
100000;128;100640
100000;128;106817
100000;128;87573
100000;128;103478
100000;128;103278
100000;128;97241
100000;128;90621
100000;128;107659
100000;128;91641
100000;128;117138
100000;128;102306
100000;128;95376
100000;128;113923
100000;128;104841
100000;128;82920
100000;128;103262
100000;128;109524
100000;128;104680
100000;128;115996
100000;128;95592
100000;128;80776
100000;128;83727
100000;128;95057
100000;128;93767
100000;128;105243
100000;128;111346
100000;128;96693
100000;128;105207
100000;128;107553
100000;128;99194
100000;128;108522
100000;128;108657
100000;128;106731
100000;128;96192
100000;128;114749
100000;128;84856
100000;128;111290
100000;128;97959
100000;128;92498
100000;128;106511
100000;128;107723
100000;128;100187
100000;128;113919
100000;128;107821
100000;128;93061
100000;128;101021
100000;128;100002
100000;128;93455
100000;128;91359
