N;M;Output
100000;512;100684
100000;512;98190
100000;512;98194
100000;512;91806
100000;512;101365
100000;512;106255
100000;512;108938
100000;512;95229
100000;512;94508
100000;512;106444
100000;512;95758
100000;512;104082
100000;512;99875
100000;512;96129
100000;512;99361
100000;512;103675
100000;512;92516
100000;512;96350
100000;512;99479
100000;512;100203
100000;512;102197
100000;512;94752
100000;512;101354
100000;512;99687
100000;512;98494
100000;512;101340
100000;512;99420
100000;512;99022
100000;512;100243
100000;512;97163
100000;512;99092
100000;512;98427
100000;512;95804
100000;512;100145
100000;512;103542
100000;512;91489
100000;512;98378
100000;512;100783
100000;512;99903
100000;512;105383
100000;512;104246
100000;512;103742
100000;512;99490
100000;512;106277
100000;512;101198
100000;512;98987
100000;512;97421
100000;512;98108
100000;512;103083
100000;512;99214
100000;512;102809
100000;512;104537
100000;512;90666
100000;512;100352
100000;512;102679
100000;512;108336
100000;512;99311
100000;512;98495
100000;512;102366
100000;512;100455
100000;512;99629
100000;512;95201
100000;512;104699
100000;512;106535
100000;512;90831
100000;512;102598
100000;512;95879
100000;512;107892
100000;512;88024
100000;512;106726
100000;512;103049
100000;512;102378
100000;512;104356
100000;512;99933
100000;512;99209
100000;512;108545
100000;512;99469
100000;512;102102
100000;512;101481
100000;512;95914
100000;512;98642
100000;512;101296
100000;512;104653
100000;512;99756
100000;512;110296
100000;512;101647
100000;512;107148
100000;512;106057
100000;512;100071
100000;512;98323
100000;512;97996
100000;512;97606
100000;512;94733
100000;512;95159
100000;512;106388
100000;512;103423
100000;512;99644
100000;512;110895
100000;512;92929
100000;512;107180
100000;512;101652
100000;512;104758
100000;512;94674
100000;512;110812
100000;512;98534
100000;512;102599
100000;512;103369
100000;512;98303
100000;512;101542
100000;512;100625
100000;512;105174
100000;512;98934
100000;512;95952
100000;512;105315
100000;512;103514
100000;512;90857
100000;512;92710
100000;512;100025
100000;512;105892
100000;512;97659
100000;512;97519
100000;512;96769
100000;512;102162
100000;512;98979
100000;512;93441
100000;512;93514
100000;512;94789
100000;512;97788
100000;512;106835
100000;512;104316
100000;512;96854
100000;512;98077
100000;512;102431
100000;512;104200
100000;512;99106
100000;512;97841
100000;512;98552
100000;512;95744
