N;M;Output
100000;256;113359
100000;256;103654
100000;256;110822
100000;256;91591
100000;256;106256
100000;256;98788
100000;256;91804
100000;256;108474
100000;256;107984
100000;256;94359
100000;256;104835
100000;256;90221
100000;256;100504
100000;256;105342
100000;256;105816
100000;256;101354
100000;256;102845
100000;256;106528
100000;256;114132
100000;256;102231
100000;256;106747
100000;256;96326
100000;256;103595
100000;256;86441
100000;256;106365
100000;256;102674
100000;256;111454
100000;256;111317
100000;256;103329
100000;256;90271
100000;256;97995
100000;256;105951
100000;256;103314
100000;256;94127
100000;256;95266
100000;256;120454
100000;256;99990
100000;256;97320
100000;256;98221
100000;256;109519
100000;256;94751
100000;256;94520
100000;256;94036
100000;256;95902
100000;256;102560
100000;256;91218
100000;256;102929
100000;256;98774
100000;256;101498
100000;256;97291
100000;256;101661
100000;256;100944
100000;256;112333
100000;256;97646
100000;256;94581
100000;256;101443
100000;256;100906
100000;256;102583
100000;256;96824
100000;256;102183
100000;256;99696
100000;256;92071
100000;256;104710
100000;256;97658
100000;256;86988
100000;256;99188
100000;256;90456
100000;256;100726
100000;256;97876
100000;256;101234
100000;256;92472
100000;256;95959
100000;256;97953
100000;256;103199
100000;256;99056
100000;256;99965
100000;256;99008
100000;256;93055
100000;256;100450
100000;256;110079
100000;256;102352
100000;256;96473
100000;256;94991
100000;256;100633
100000;256;101015
100000;256;102372
100000;256;116867
100000;256;96622
100000;256;102205
100000;256;99730
100000;256;99149
100000;256;89559
100000;256;112380
100000;256;103435
100000;256;91400
100000;256;114727
100000;256;119503
100000;256;97914
100000;256;108964
100000;256;93426
100000;256;99564
100000;256;94927
100000;256;102790
100000;256;100994
100000;256;98759
100000;256;91670
100000;256;97656
100000;256;109906
100000;256;105188
100000;256;94096
100000;256;90058
100000;256;86987
100000;256;109579
100000;256;93409
100000;256;98702
100000;256;96110
100000;256;114801
100000;256;108962
100000;256;88044
100000;256;92476
100000;256;107146
100000;256;96916
100000;256;100659
100000;256;101171
100000;256;88984
100000;256;99175
100000;256;96020
100000;256;106816
100000;256;106412
100000;256;98885
100000;256;95556
100000;256;90805
100000;256;102859
100000;256;95920
100000;256;99388
100000;256;88073
100000;256;109853
