N;M;Output
100000;512;99991
100000;512;99464
100000;512;96236
100000;512;100045
100000;512;97278
100000;512;105190
100000;512;97184
100000;512;96291
100000;512;91424
100000;512;103627
100000;512;102504
100000;512;98374
100000;512;93620
100000;512;100441
100000;512;100273
100000;512;101627
100000;512;99494
100000;512;99823
100000;512;100784
100000;512;99168
100000;512;100150
100000;512;99366
100000;512;105713
100000;512;95583
100000;512;95107
100000;512;102774
100000;512;101796
100000;512;99064
100000;512;98957
100000;512;98823
100000;512;95859
100000;512;96608
100000;512;101366
100000;512;99704
100000;512;99709
100000;512;94112
100000;512;102838
100000;512;91274
100000;512;108344
100000;512;96836
100000;512;107467
100000;512;103957
100000;512;92346
100000;512;101350
100000;512;101458
100000;512;98036
100000;512;102701
100000;512;94652
100000;512;96991
100000;512;95823
100000;512;97580
100000;512;99795
100000;512;98323
100000;512;99662
100000;512;104852
100000;512;100441
100000;512;94895
100000;512;103723
100000;512;97224
100000;512;104214
100000;512;100663
100000;512;98995
100000;512;102235
100000;512;92835
100000;512;100063
100000;512;98609
100000;512;100819
100000;512;95954
100000;512;94261
100000;512;102697
100000;512;102037
100000;512;92780
100000;512;98612
100000;512;100271
100000;512;106220
100000;512;97973
100000;512;92292
100000;512;102918
100000;512;97613
100000;512;107565
100000;512;110571
100000;512;96341
100000;512;98993
100000;512;97229
100000;512;102142
100000;512;95363
100000;512;97312
100000;512;94015
100000;512;101235
100000;512;93937
100000;512;101520
100000;512;103790
100000;512;94955
100000;512;104842
100000;512;97628
100000;512;99626
100000;512;100739
100000;512;103789
100000;512;102136
100000;512;96681
100000;512;100249
100000;512;96878
100000;512;102615
100000;512;105301
100000;512;107798
100000;512;104513
100000;512;107741
100000;512;104448
100000;512;99222
100000;512;111936
100000;512;99798
100000;512;98182
100000;512;99859
100000;512;105676
100000;512;101425
100000;512;106021
100000;512;99987
100000;512;97031
100000;512;100768
100000;512;101367
100000;512;102948
100000;512;97641
100000;512;97767
100000;512;102332
100000;512;107880
100000;512;103231
100000;512;103278
100000;512;108628
100000;512;100206
100000;512;105289
100000;512;101176
100000;512;103274
100000;512;98924
100000;512;95491
100000;512;99032
100000;512;96006
100000;512;97872
100000;512;98036
100000;512;104235
100000;512;99697
100000;512;99353
100000;512;96562
100000;512;105228
100000;512;92214
100000;512;107435
100000;512;102057
100000;512;110425
100000;512;97936
100000;512;104555
100000;512;96622
100000;512;103079
100000;512;96364
100000;512;102011
100000;512;106914
100000;512;110680
100000;512;92113
100000;512;101765
100000;512;107430
100000;512;98908
100000;512;98054
100000;512;98595
100000;512;104536
100000;512;100219
100000;512;103431
100000;512;99163
100000;512;104493
100000;512;104574
100000;512;104374
100000;512;95219
100000;512;101424
100000;512;104690
100000;512;99573
100000;512;91203
100000;512;106338
100000;512;96547
100000;512;103029
100000;512;108809
100000;512;102497
100000;512;95502
100000;512;104343
100000;512;98364
100000;512;92505
100000;512;95991
100000;512;96928
100000;512;103435
100000;512;101375
100000;512;104471
100000;512;94541
100000;512;100761
100000;512;98979
100000;512;102408
100000;512;107038
100000;512;98883
100000;512;98064
100000;512;97690
100000;512;96914
100000;512;101727
100000;512;96673
100000;512;101673
100000;512;101149
100000;512;97894
100000;512;101468
100000;512;96682
100000;512;102452
100000;512;105500
100000;512;109685
100000;512;97013
100000;512;101398
100000;512;101115
100000;512;98241
100000;512;101049
100000;512;99870
100000;512;91936
100000;512;101139
100000;512;101129
100000;512;85161
100000;512;95294
100000;512;98486
100000;512;99567
100000;512;104370
100000;512;92641
100000;512;95326
100000;512;100251
100000;512;93704
100000;512;99539
100000;512;97184
100000;512;100868
100000;512;103032
100000;512;93268
100000;512;100999
100000;512;103387
100000;512;109865
100000;512;103782
100000;512;96983
100000;512;88053
100000;512;102215
100000;512;101809
100000;512;106951
100000;512;97824
100000;512;105651
100000;512;106171
100000;512;95155
100000;512;102915
100000;512;106554
100000;512;105193
100000;512;102661
100000;512;102729
100000;512;95708
100000;512;101849
100000;512;91378
100000;512;98956
100000;512;99618
100000;512;106520
100000;512;99281
100000;512;91947
100000;512;102166
100000;512;99109
100000;512;101144
100000;512;95152
100000;512;103187
100000;512;97360
100000;512;99079
100000;512;99767
100000;512;100462
100000;512;95264
100000;512;102128
100000;512;99368
100000;512;104386
100000;512;98744
100000;512;100377
100000;512;96153
100000;512;88526
100000;512;98374
100000;512;93139
100000;512;100440
100000;512;96882
100000;512;105938
100000;512;96490
100000;512;98579
100000;512;92676
100000;512;103194
100000;512;99778
100000;512;102871
100000;512;102407
100000;512;99843
100000;512;101608
100000;512;98670
100000;512;104668
100000;512;94081
100000;512;96975
100000;512;95981
100000;512;102083
100000;512;102571
100000;512;98414
100000;512;107073
100000;512;97423
100000;512;109964
100000;512;98755
100000;512;96506
100000;512;97599
100000;512;100402
100000;512;92569
100000;512;97410
100000;512;105070
100000;512;90653
100000;512;97733
100000;512;99739
100000;512;106088
100000;512;101788
100000;512;96221
100000;512;96219
100000;512;104159
100000;512;101122
100000;512;91106
100000;512;88717
100000;512;95658
100000;512;88891
100000;512;103963
100000;512;99300
100000;512;98130
100000;512;100708
100000;512;101035
100000;512;102339
100000;512;103749
100000;512;96399
100000;512;103125
100000;512;97647
100000;512;106668
100000;512;99685
100000;512;100550
100000;512;105237
100000;512;105170
100000;512;101401
100000;512;107711
100000;512;98454
100000;512;95714
100000;512;92621
100000;512;105617
100000;512;91375
100000;512;92644
100000;512;96233
100000;512;95808
100000;512;102701
100000;512;97556
100000;512;94697
100000;512;96674
100000;512;93665
100000;512;101148
100000;512;109919
100000;512;102458
100000;512;107654
100000;512;100052
100000;512;103599
100000;512;96128
100000;512;98347
100000;512;101747
100000;512;104776
100000;512;110681
100000;512;101824
100000;512;102360
100000;512;101324
100000;512;95163
100000;512;96572
100000;512;96635
100000;512;95986
100000;512;95540
100000;512;103985
100000;512;106849
100000;512;105953
100000;512;97204
100000;512;110051
100000;512;100030
100000;512;98075
100000;512;100360
100000;512;98711
100000;512;99822
100000;512;108837
100000;512;93372
100000;512;97830
100000;512;105088
100000;512;100808
100000;512;91612
100000;512;98777
100000;512;108417
100000;512;96162
100000;512;101780
100000;512;95408
100000;512;97681
100000;512;92781
