N;M;Output
100000;256;90827
100000;256;99687
100000;256;93653
100000;256;100093
100000;256;102872
100000;256;98423
100000;256;92427
100000;256;98218
100000;256;106089
100000;256;108211
100000;256;96788
100000;256;105708
100000;256;109630
100000;256;103723
100000;256;95703
100000;256;93930
100000;256;101259
100000;256;104281
100000;256;86943
100000;256;105323
100000;256;98753
100000;256;99738
100000;256;90258
100000;256;103538
100000;256;92758
100000;256;108943
100000;256;109462
100000;256;92194
100000;256;98315
100000;256;103455
100000;256;106820
100000;256;88869
100000;256;102250
100000;256;100889
100000;256;95653
100000;256;97268
100000;256;90824
100000;256;94261
100000;256;92255
100000;256;98154
100000;256;104295
100000;256;106834
100000;256;92067
100000;256;105605
100000;256;111573
100000;256;100676
100000;256;90558
100000;256;104658
100000;256;99204
100000;256;94607
100000;256;105410
100000;256;99045
100000;256;96367
100000;256;94784
100000;256;91264
100000;256;94152
100000;256;98717
100000;256;101674
100000;256;102184
100000;256;92766
100000;256;105360
100000;256;101297
100000;256;88005
100000;256;96892
100000;256;100482
100000;256;96070
100000;256;104633
100000;256;93673
100000;256;93414
100000;256;107361
100000;256;106306
100000;256;99110
100000;256;96761
100000;256;98457
100000;256;99633
100000;256;94505
100000;256;88824
100000;256;100100
100000;256;101930
100000;256;102055
100000;256;100752
100000;256;93123
100000;256;91549
100000;256;92559
100000;256;100429
100000;256;99713
100000;256;92039
100000;256;102739
100000;256;108796
100000;256;94030
100000;256;100076
100000;256;107943
100000;256;106893
100000;256;98602
100000;256;98009
100000;256;89509
100000;256;103537
100000;256;100183
100000;256;100990
100000;256;96648
100000;256;97169
100000;256;97817
100000;256;117128
100000;256;101823
100000;256;93948
100000;256;101059
100000;256;92118
100000;256;101150
100000;256;98106
100000;256;101076
100000;256;97775
100000;256;102106
100000;256;104590
100000;256;103334
100000;256;101555
100000;256;93408
100000;256;94620
100000;256;106503
100000;256;92171
100000;256;102798
100000;256;103233
100000;256;96693
100000;256;96970
100000;256;96581
100000;256;100738
100000;256;98921
100000;256;97608
100000;256;110781
100000;256;107170
100000;256;88548
100000;256;96493
100000;256;104684
100000;256;98854
100000;256;115065
100000;256;106035
100000;256;99050
100000;256;110146
100000;256;92354
100000;256;99272
100000;256;96775
100000;256;105155
100000;256;91698
100000;256;91417
100000;256;100095
100000;256;91871
100000;256;95737
100000;256;100597
100000;256;95459
100000;256;102022
100000;256;91124
100000;256;92078
100000;256;105018
100000;256;90911
100000;256;97015
100000;256;106991
100000;256;99057
100000;256;93721
100000;256;85890
100000;256;97141
100000;256;100737
100000;256;103723
100000;256;96131
100000;256;97872
100000;256;94499
100000;256;104877
100000;256;90622
100000;256;99315
100000;256;109816
100000;256;117981
100000;256;97881
100000;256;101904
100000;256;96239
100000;256;93971
100000;256;96091
100000;256;97057
100000;256;114048
100000;256;95481
100000;256;108615
100000;256;96542
100000;256;106032
100000;256;99502
100000;256;111013
100000;256;106971
100000;256;99950
100000;256;105863
100000;256;100001
100000;256;106280
100000;256;102374
100000;256;106420
100000;256;97627
100000;256;98422
100000;256;94038
100000;256;107876
100000;256;91171
100000;256;99234
100000;256;90578
100000;256;101357
100000;256;94034
100000;256;104900
100000;256;104346
100000;256;96729
100000;256;92367
100000;256;99469
100000;256;103716
100000;256;111087
100000;256;106087
100000;256;96335
100000;256;112816
100000;256;101318
100000;256;101906
100000;256;99209
100000;256;106528
100000;256;118672
100000;256;99623
100000;256;103739
100000;256;95847
100000;256;93815
100000;256;106348
100000;256;107669
100000;256;108540
100000;256;102183
100000;256;102150
100000;256;106011
100000;256;96634
100000;256;96664
100000;256;101382
100000;256;100854
100000;256;103238
100000;256;98576
100000;256;97790
100000;256;97311
100000;256;102259
100000;256;107223
100000;256;93180
100000;256;102967
100000;256;86035
100000;256;100397
100000;256;90285
100000;256;103995
100000;256;104505
100000;256;96023
100000;256;102587
100000;256;103084
100000;256;94066
100000;256;103846
100000;256;103456
100000;256;108212
100000;256;100124
100000;256;97723
100000;256;99019
100000;256;93816
100000;256;100373
100000;256;105895
100000;256;107283
100000;256;112215
100000;256;91275
100000;256;100078
100000;256;100693
100000;256;93670
100000;256;104100
100000;256;97460
100000;256;99102
100000;256;108754
100000;256;105041
100000;256;97481
100000;256;100695
100000;256;98350
100000;256;111975
100000;256;106686
100000;256;98982
100000;256;98214
100000;256;93945
100000;256;108612
100000;256;90174
100000;256;110012
100000;256;105528
100000;256;89021
100000;256;111325
100000;256;114674
100000;256;109614
100000;256;104910
100000;256;97586
100000;256;97141
100000;256;91734
100000;256;103813
100000;256;88942
100000;256;103428
100000;256;112513
100000;256;98368
100000;256;94827
100000;256;103417
100000;256;103030
100000;256;98172
100000;256;105371
100000;256;97219
100000;256;98125
100000;256;93699
100000;256;96467
100000;256;104736
100000;256;101125
100000;256;98715
100000;256;102110
100000;256;95668
100000;256;106386
100000;256;102052
100000;256;99978
100000;256;89950
100000;256;118471
100000;256;88093
100000;256;102338
100000;256;96218
100000;256;97803
100000;256;101796
100000;256;100335
100000;256;107211
100000;256;105317
100000;256;104695
100000;256;104787
100000;256;87447
100000;256;116551
100000;256;97734
100000;256;93575
100000;256;89426
100000;256;103150
100000;256;96542
100000;256;106563
100000;256;104495
100000;256;96870
100000;256;85972
100000;256;108937
100000;256;101701
100000;256;98318
100000;256;97269
100000;256;117971
100000;256;95092
100000;256;97421
100000;256;100078
100000;256;100112
100000;256;101491
100000;256;102661
100000;256;106366
100000;256;116002
100000;256;96860
100000;256;91608
100000;256;94222
100000;256;106061
100000;256;89162
100000;256;101175
100000;256;96980
100000;256;100743
100000;256;96436
100000;256;105193
100000;256;97439
100000;256;98877
100000;256;92715
100000;256;109592
100000;256;88358
100000;256;99200
100000;256;95987
100000;256;99546
100000;256;91902
100000;256;104357
100000;256;96674
100000;256;96157
100000;256;105500
100000;256;105161
100000;256;104764
100000;256;89952
100000;256;101495
100000;256;105591
100000;256;100342
100000;256;106410
100000;256;103039
100000;256;100011
100000;256;109910
100000;256;95481
100000;256;101357
100000;256;109457
100000;256;110157
100000;256;102783
100000;256;101920
100000;256;99735
100000;256;102804
100000;256;94396
100000;256;95074
100000;256;114265
100000;256;98013
100000;256;93188
100000;256;95001
100000;256;108429
100000;256;102075
100000;256;101090
100000;256;95476
100000;256;99910
100000;256;105352
100000;256;101887
100000;256;101377
100000;256;101490
100000;256;98693
100000;256;104868
100000;256;94035
100000;256;102570
100000;256;99755
100000;256;111513
100000;256;99453
100000;256;95685
100000;256;92049
100000;256;101365
100000;256;110032
100000;256;82131
100000;256;116000
100000;256;103888
100000;256;106558
100000;256;96575
