N;M;Output
100000;64;120638
100000;64;87985
100000;64;79833
100000;64;93715
100000;64;99250
100000;64;102152
100000;64;87705
100000;64;118488
100000;64;89442
100000;64;91522
100000;64;113729
100000;64;95444
100000;64;110331
100000;64;120399
100000;64;82429
100000;64;90274
100000;64;118710
100000;64;96082
100000;64;100241
100000;64;81268
100000;64;95862
100000;64;77592
100000;64;97441
100000;64;113899
100000;64;87899
100000;64;103064
100000;64;83213
100000;64;105843
100000;64;88563
100000;64;111350
100000;64;83240
100000;64;99147
100000;64;108822
100000;64;101865
100000;64;92997
100000;64;88358
100000;64;102084
100000;64;94473
100000;64;126388
100000;64;94353
100000;64;88605
100000;64;112196
100000;64;89647
100000;64;114775
100000;64;103710
100000;64;80538
100000;64;88072
100000;64;98201
100000;64;114775
100000;64;103204
100000;64;105961
100000;64;102070
100000;64;95158
100000;64;113306
100000;64;100800
100000;64;94248
100000;64;97816
100000;64;98125
100000;64;140835
100000;64;98761
100000;64;83185
100000;64;102866
100000;64;95768
100000;64;109471
100000;64;93042
100000;64;87661
100000;64;93758
100000;64;88031
100000;64;120887
100000;64;85157
100000;64;109337
100000;64;102097
100000;64;110898
100000;64;93059
100000;64;101988
100000;64;102592
100000;64;94847
100000;64;91248
100000;64;101526
100000;64;79937
100000;64;94838
100000;64;94850
100000;64;101094
100000;64;102372
100000;64;122648
100000;64;104665
100000;64;120973
100000;64;138519
100000;64;94661
100000;64;103766
100000;64;121272
100000;64;134365
100000;64;102475
100000;64;114224
100000;64;102043
100000;64;126059
100000;64;113104
100000;64;106105
100000;64;90694
100000;64;95684
100000;64;70311
100000;64;97347
100000;64;115213
100000;64;87345
100000;64;91986
100000;64;81897
100000;64;120280
100000;64;80640
100000;64;120020
100000;64;133341
100000;64;98915
100000;64;119119
100000;64;100587
100000;64;97641
100000;64;104823
100000;64;92240
100000;64;98817
100000;64;144965
100000;64;105593
100000;64;107513
100000;64;123324
100000;64;103682
100000;64;77199
100000;64;93797
100000;64;95696
100000;64;89040
100000;64;92164
100000;64;118697
100000;64;76825
100000;64;91341
100000;64;107274
100000;64;98087
100000;64;136765
100000;64;116034
100000;64;91961
100000;64;104968
100000;64;92522
100000;64;96457
100000;64;97634
100000;64;106702
100000;64;113205
100000;64;90975
100000;64;100415
100000;64;134317
100000;64;135500
100000;64;80640
100000;64;96554
100000;64;83377
100000;64;93695
100000;64;104078
100000;64;122609
100000;64;101121
100000;64;105575
100000;64;128256
100000;64;107592
100000;64;95438
100000;64;92906
100000;64;82850
100000;64;87192
100000;64;103569
100000;64;85540
100000;64;114156
100000;64;94192
100000;64;100478
100000;64;100349
100000;64;92254
100000;64;103246
100000;64;69430
100000;64;91853
100000;64;96748
100000;64;106725
100000;64;97999
100000;64;100309
100000;64;125923
100000;64;105667
100000;64;99953
100000;64;100111
100000;64;86944
100000;64;117176
100000;64;97155
100000;64;101620
100000;64;109542
100000;64;119765
100000;64;109412
100000;64;81069
100000;64;84984
100000;64;105287
100000;64;76717
100000;64;111401
100000;64;84081
100000;64;104701
100000;64;87626
100000;64;74547
100000;64;119549
100000;64;95877
100000;64;99927
100000;64;98787
100000;64;95087
100000;64;121146
100000;64;126059
100000;64;82805
100000;64;84665
100000;64;112172
100000;64;91445
100000;64;110311
100000;64;104321
100000;64;93020
100000;64;105026
100000;64;100349
100000;64;107189
100000;64;100561
100000;64;112966
100000;64;113968
100000;64;114494
100000;64;99535
100000;64;109005
100000;64;109842
100000;64;87869
100000;64;111797
100000;64;104135
100000;64;103337
100000;64;99770
100000;64;111850
100000;64;88008
100000;64;86906
100000;64;85994
100000;64;84141
100000;64;103435
100000;64;82021
100000;64;84967
100000;64;98812
100000;64;91665
100000;64;106973
100000;64;108020
100000;64;103527
100000;64;96022
100000;64;98582
100000;64;111108
100000;64;98199
100000;64;120552
100000;64;98915
100000;64;96889
100000;64;83725
100000;64;100269
100000;64;99744
100000;64;75718
100000;64;104881
100000;64;96861
100000;64;86669
100000;64;105799
100000;64;104722
100000;64;108419
100000;64;98557
100000;64;99354
100000;64;106227
100000;64;102613
100000;64;85038
100000;64;95322
100000;64;114430
100000;64;112845
100000;64;101158
100000;64;85062
100000;64;75581
100000;64;94208
100000;64;81792
100000;64;86472
100000;64;108582
100000;64;110092
100000;64;88967
100000;64;83349
100000;64;99095
100000;64;99483
100000;64;92703
100000;64;99862
100000;64;102138
100000;64;90264
100000;64;105098
100000;64;79288
100000;64;94909
100000;64;92782
100000;64;101321
100000;64;90306
100000;64;87606
100000;64;61569
100000;64;106316
100000;64;111758
100000;64;94921
100000;64;117339
100000;64;96380
100000;64;105902
100000;64;87225
100000;64;83222
100000;64;94100
100000;64;97248
100000;64;98531
100000;64;102897
100000;64;108947
100000;64;111254
100000;64;129048
100000;64;117086
100000;64;99483
100000;64;81897
100000;64;106569
100000;64;92918
100000;64;114826
100000;64;80923
100000;64;112736
100000;64;132460
100000;64;93701
100000;64;95829
100000;64;89227
100000;64;113686
100000;64;97068
100000;64;93729
100000;64;114783
100000;64;85694
100000;64;95492
100000;64;101111
100000;64;114619
100000;64;107607
100000;64;107805
100000;64;106123
100000;64;83771
100000;64;105069
100000;64;117861
100000;64;131682
100000;64;109338
100000;64;93562
100000;64;114773
100000;64;79904
100000;64;86183
100000;64;90823
100000;64;137637
100000;64;113970
100000;64;81739
100000;64;114637
100000;64;69152
100000;64;107033
100000;64;91781
100000;64;104802
100000;64;110335
100000;64;91759
100000;64;87245
100000;64;74634
100000;64;88164
100000;64;111768
100000;64;105345
100000;64;99796
100000;64;92343
100000;64;98812
100000;64;84421
100000;64;109228
100000;64;87225
100000;64;102330
100000;64;105055
100000;64;73799
100000;64;92270
100000;64;107790
100000;64;117511
100000;64;77403
100000;64;85674
100000;64;78069
100000;64;103710
100000;64;100124
100000;64;100880
100000;64;76066
100000;64;116772
100000;64;102589
100000;64;94614
100000;64;92410
100000;64;112172
100000;64;111768
100000;64;93179
100000;64;87626
100000;64;114456
100000;64;122767
100000;64;104478
100000;64;124860
100000;64;98691
100000;64;81155
100000;64;100984
100000;64;141465
100000;64;112118
100000;64;103520
100000;64;85597
100000;64;102207
100000;64;78770
100000;64;123045
100000;64;102466
100000;64;115990
100000;64;85386
100000;64;92142
100000;64;118243
100000;64;79354
100000;64;88051
100000;64;128310
100000;64;80957
100000;64;78747
100000;64;92680
100000;64;104421
100000;64;97466
100000;64;130575
100000;64;95235
100000;64;108035
100000;64;105047
100000;64;96951
100000;64;89886
100000;64;87174
100000;64;107033
100000;64;86648
100000;64;90801
100000;64;101444
100000;64;92827
100000;64;98710
100000;64;103302
100000;64;131030
100000;64;84472
100000;64;104550
100000;64;91538
100000;64;107943
100000;64;107357
100000;64;96901
100000;64;93984
100000;64;113138
100000;64;101363
100000;64;96705
100000;64;104021
100000;64;93568
100000;64;109212
100000;64;108497
100000;64;84122
100000;64;85836
100000;64;106524
100000;64;138481
100000;64;135187
100000;64;122678
100000;64;93476
100000;64;90093
100000;64;94275
100000;64;88749
100000;64;82176
100000;64;97547
100000;64;103372
100000;64;92545
100000;64;101414
100000;64;108050
100000;64;104708
100000;64;113370
100000;64;92748
100000;64;118516
100000;64;103204
100000;64;95456
100000;64;97444
100000;64;97441
100000;64;91324
100000;64;98169
100000;64;88143
100000;64;93496
100000;64;87950
100000;64;115362
100000;64;87889
100000;64;86865
100000;64;120399
100000;64;87767
100000;64;110033
100000;64;100984
100000;64;96631
100000;64;115226
100000;64;90488
100000;64;97043
100000;64;96264
100000;64;108744
100000;64;108744
100000;64;103816
100000;64;112238
100000;64;107425
100000;64;112894
100000;64;97453
100000;64;99185
100000;64;99927
100000;64;89437
100000;64;117756
100000;64;104679
100000;64;107418
100000;64;89662
100000;64;115052
100000;64;96705
100000;64;94638
100000;64;94548
100000;64;85463
100000;64;94356
100000;64;101424
100000;64;108342
100000;64;120695
100000;64;88977
100000;64;86846
100000;64;91215
100000;64;121591
100000;64;109652
100000;64;93453
100000;64;88072
100000;64;93339
100000;64;107524
100000;64;85916
100000;64;79586
100000;64;91571
100000;64;111744
100000;64;77989
100000;64;94494
100000;64;100957
100000;64;93937
100000;64;91964
100000;64;102786
100000;64;83656
100000;64;101347
100000;64;109228
100000;64;83358
100000;64;100900
100000;64;99901
100000;64;101215
100000;64;120590
100000;64;98748
100000;64;114327
100000;64;123324
100000;64;90667
100000;64;101444
100000;64;91964
100000;64;118204
100000;64;102289
100000;64;93776
100000;64;105707
100000;64;104535
100000;64;103253
100000;64;87505
100000;64;95396
100000;64;97093
100000;64;91401
100000;64;108188
100000;64;93747
100000;64;83624
100000;64;95973
100000;64;87425
100000;64;83882
100000;64;121746
100000;64;96192
100000;64;80610
100000;64;92520
100000;64;76376
100000;64;94992
100000;64;123684
100000;64;90317
100000;64;134970
100000;64;103625
100000;64;100534
100000;64;92047
100000;64;74759
100000;64;100706
100000;64;94444
100000;64;107878
100000;64;118195
100000;64;111155
100000;64;109542
100000;64;95099
100000;64;101756
100000;64;106494
100000;64;109518
100000;64;105626
100000;64;114809
100000;64;88868
100000;64;78536
100000;64;97595
100000;64;85877
100000;64;121358
100000;64;95462
100000;64;133103
100000;64;84889
100000;64;72593
100000;64;98085
100000;64;95516
100000;64;112462
100000;64;102757
100000;64;100085
100000;64;108127
100000;64;85281
100000;64;103781
100000;64;102731
100000;64;84225
100000;64;99574
100000;64;92198
100000;64;111531
100000;64;94773
100000;64;105990
100000;64;91095
100000;64;104078
100000;64;105491
100000;64;129049
100000;64;105462
100000;64;89222
100000;64;103148
100000;64;92114
100000;64;99659
100000;64;84141
100000;64;104939
100000;64;92295
100000;64;109432
100000;64;96447
100000;64;130980
100000;64;92321
100000;64;98264
100000;64;97397
100000;64;84309
100000;64;112462
100000;64;135356
100000;64;92703
100000;64;120800
100000;64;100058
100000;64;88113
100000;64;77886
100000;64;97948
100000;64;91942
100000;64;101879
100000;64;125871
100000;64;81708
100000;64;86822
100000;64;104342
100000;64;81000
100000;64;93585
100000;64;112803
100000;64;157985
100000;64;93958
100000;64;111027
100000;64;87863
100000;64;111205
100000;64;97235
100000;64;98659
100000;64;87340
100000;64;97122
100000;64;102262
100000;64;99173
100000;64;86379
100000;64;108281
100000;64;79545
100000;64;99993
100000;64;108651
100000;64;119680
100000;64;108744
100000;64;90629
100000;64;107244
100000;64;74803
100000;64;98100
100000;64;104406
100000;64;96313
100000;64;96754
100000;64;114706
100000;64;97910
100000;64;91409
100000;64;92986
100000;64;118526
100000;64;89170
100000;64;119063
100000;64;98074
100000;64;92872
100000;64;112172
100000;64;74751
100000;64;88543
100000;64;103929
100000;64;96460
100000;64;85310
100000;64;101845
100000;64;103379
100000;64;92114
100000;64;99777
100000;64;102883
100000;64;105229
100000;64;121146
100000;64;88440
100000;64;90758
100000;64;92838
100000;64;87767
100000;64;85081
100000;64;111417
100000;64;109400
100000;64;79543
100000;64;96472
100000;64;80820
100000;64;82932
100000;64;100428
100000;64;98493
100000;64;89143
100000;64;106733
100000;64;104910
100000;64;101121
100000;64;98131
100000;64;108791
100000;64;89374
100000;64;103597
100000;64;87828
100000;64;117792
100000;64;96619
100000;64;133810
100000;64;91128
100000;64;93362
100000;64;94077
100000;64;92388
100000;64;118636
100000;64;71310
100000;64;101337
100000;64;76841
100000;64;104192
100000;64;95295
100000;64;93820
100000;64;70249
100000;64;100062
100000;64;93189
100000;64;94992
100000;64;80992
100000;64;113827
100000;64;91182
100000;64;116779
100000;64;94240
100000;64;86956
100000;64;88532
100000;64;101933
100000;64;87524
100000;64;85405
100000;64;92612
100000;64;97992
100000;64;108304
100000;64;107897
100000;64;90975
100000;64;106301
100000;64;77592
100000;64;99581
100000;64;118687
100000;64;129213
100000;64;104192
100000;64;101390
100000;64;103477
100000;64;138532
100000;64;97782
100000;64;114844
100000;64;95576
100000;64;109103
100000;64;104064
100000;64;80940
100000;64;111287
100000;64;87425
100000;64;125394
100000;64;88113
100000;64;101404
100000;64;92075
100000;64;132807
100000;64;90146
100000;64;91875
100000;64;115558
100000;64;109953
100000;64;123764
100000;64;108605
100000;64;105142
100000;64;89732
100000;64;101330
100000;64;74234
100000;64;110156
100000;64;105171
100000;64;115209
100000;64;105696
100000;64;91753
100000;64;94167
100000;64;95768
100000;64;104278
100000;64;101988
100000;64;127943
100000;64;90106
100000;64;86541
100000;64;98404
100000;64;75959
100000;64;116562
100000;64;89500
100000;64;102800
100000;64;95134
100000;64;83909
100000;64;102800
100000;64;73374
100000;64;101526
100000;64;103036
100000;64;94591
100000;64;102745
100000;64;80274
100000;64;101229
100000;64;138708
100000;64;85819
100000;64;87626
100000;64;91566
100000;64;100137
100000;64;86777
100000;64;102689
100000;64;115357
100000;64;90586
100000;64;86062
100000;64;113534
100000;64;103372
100000;64;110672
100000;64;108604
100000;64;108342
100000;64;82500
100000;64;94980
100000;64;112703
100000;64;111326
100000;64;106853
100000;64;110048
100000;64;98954
100000;64;103921
100000;64;103526
100000;64;101068
100000;64;104278
100000;64;96754
100000;64;140318
100000;64;102981
100000;64;101605
100000;64;100853
100000;64;89690
100000;64;106883
100000;64;69065
100000;64;77121
100000;64;95528
100000;64;97647
100000;64;86482
100000;64;107547
100000;64;110288
100000;64;93179
100000;64;111580
100000;64;85906
100000;64;96131
100000;64;115646
100000;64;90451
100000;64;90178
100000;64;103759
100000;64;94263
100000;64;83038
100000;64;102883
100000;64;109652
100000;64;93718
100000;64;91831
100000;64;94992
100000;64;91144
100000;64;85540
100000;64;87003
100000;64;97246
100000;64;129301
100000;64;93643
100000;64;90607
100000;64;95203
100000;64;98366
100000;64;90937
100000;64;98201
100000;64;108807
100000;64;88753
100000;64;93430
100000;64;111401
100000;64;105813
100000;64;105579
100000;64;81017
100000;64;84067
100000;64;100660
100000;64;108466
100000;64;89458
100000;64;98838
100000;64;89563
100000;64;91964
100000;64;94921
100000;64;95705
100000;64;83798
100000;64;90704
100000;64;95289
100000;64;100773
100000;64;94603
100000;64;87365
100000;64;72262
100000;64;122000
100000;64;82675
100000;64;93810
100000;64;111711
100000;64;103865
100000;64;108869
100000;64;96735
100000;64;96895
100000;64;123754
100000;64;83872
100000;64;101614
100000;64;114568
100000;64;98531
100000;64;90715
100000;64;96432
100000;64;118989
100000;64;99639
100000;64;106703
100000;64;107093
100000;64;95063
100000;64;74532
100000;64;104421
100000;64;94240
100000;64;88399
100000;64;115857
100000;64;108281
100000;64;92532
100000;64;79553
100000;64;114956
100000;64;97273
100000;64;92276
100000;64;101933
100000;64;84122
100000;64;98340
100000;64;109526
100000;64;101824
100000;64;107055
100000;64;110000
100000;64;97547
100000;64;82760
100000;64;94053
100000;64;112552
100000;64;104586
100000;64;121688
100000;64;102221
100000;64;99308
100000;64;93891
100000;64;102897
100000;64;106494
100000;64;83993
100000;64;91842
100000;64;107699
100000;64;100987
100000;64;92635
100000;64;104910
100000;64;96926
100000;64;111411
100000;64;82367
100000;64;142337
100000;64;95307
100000;64;97740
100000;64;111643
100000;64;87737
100000;64;118914
100000;64;93270
100000;64;100667
100000;64;99321
100000;64;102869
100000;64;100707
100000;64;87879
100000;64;114766
100000;64;97885
100000;64;119418
100000;64;100853
100000;64;149021
100000;64;95732
100000;64;80038
100000;64;83702
100000;64;101222
100000;64;104672
100000;64;95750
100000;64;100428
100000;64;93631
100000;64;104157
100000;64;109574
100000;64;85338
100000;64;89489
100000;64;92522
100000;64;107531
100000;64;107699
100000;64;112757
100000;64;98883
100000;64;102981
100000;64;104178
100000;64;93741
100000;64;108304
100000;64;91986
100000;64;109400
100000;64;88956
100000;64;88780
100000;64;93459
100000;64;92680
100000;64;101288
100000;64;91698
100000;64;103176
100000;64;89986
100000;64;96821
100000;64;110859
100000;64;92986
100000;64;96313
100000;64;105755
100000;64;96652
100000;64;96460
100000;64;100111
100000;64;99328
100000;64;101175
100000;64;98909
100000;64;104593
100000;64;97220
100000;64;89269
100000;64;96680
100000;64;99195
