N;M;Output
100000;128;115813
100000;128;100882
100000;128;103882
100000;128;117988
100000;128;87160
100000;128;100313
100000;128;103722
100000;128;99787
100000;128;91105
100000;128;94315
100000;128;85342
100000;128;110393
100000;128;103293
100000;128;99021
100000;128;113999
100000;128;120198
100000;128;105235
100000;128;83890
100000;128;103300
100000;128;89197
100000;128;106939
100000;128;110760
100000;128;100936
100000;128;103637
100000;128;117990
100000;128;97624
100000;128;111646
100000;128;116271
100000;128;99855
100000;128;114584
100000;128;97680
100000;128;105580
100000;128;96308
100000;128;88552
100000;128;95523
100000;128;100258
100000;128;94571
100000;128;94986
100000;128;93102
100000;128;94711
100000;128;98208
100000;128;87832
100000;128;93733
100000;128;87195
100000;128;117173
100000;128;93338
100000;128;90878
100000;128;112703
100000;128;94289
100000;128;95565
100000;128;83312
100000;128;100763
100000;128;93944
100000;128;77720
100000;128;117315
100000;128;110545
100000;128;97358
100000;128;90434
100000;128;101237
100000;128;107399
100000;128;87756
100000;128;85112
100000;128;94787
100000;128;109232
100000;128;88952
100000;128;101110
100000;128;96770
100000;128;89019
100000;128;106094
100000;128;101924
100000;128;103325
100000;128;99432
100000;128;108637
100000;128;95670
100000;128;93364
100000;128;108876
100000;128;100201
100000;128;108888
100000;128;101038
100000;128;101703
100000;128;96224
100000;128;91939
100000;128;82939
100000;128;98353
100000;128;95298
100000;128;97063
100000;128;102041
100000;128;97077
100000;128;92287
100000;128;103335
100000;128;95726
100000;128;99674
100000;128;90642
100000;128;93091
100000;128;98255
100000;128;118479
100000;128;110505
100000;128;97690
100000;128;111711
100000;128;96886
100000;128;88777
100000;128;81727
100000;128;84471
100000;128;104930
100000;128;95655
100000;128;111403
100000;128;103422
100000;128;100776
100000;128;94159
100000;128;88961
100000;128;102985
100000;128;111346
100000;128;98507
100000;128;90418
100000;128;103963
100000;128;105222
100000;128;100008
100000;128;94834
100000;128;91169
100000;128;83611
100000;128;90765
100000;128;93500
100000;128;119382
100000;128;106859
100000;128;104861
100000;128;85606
100000;128;83451
100000;128;95667
100000;128;91140
100000;128;93995
100000;128;100236
100000;128;77827
100000;128;94746
100000;128;98811
100000;128;98387
100000;128;114755
100000;128;114050
100000;128;95828
100000;128;96125
100000;128;98138
100000;128;105878
100000;128;98491
100000;128;111662
100000;128;95271
100000;128;96763
100000;128;98152
100000;128;83659
100000;128;102854
100000;128;99690
100000;128;106639
100000;128;100565
100000;128;110760
100000;128;102109
100000;128;107992
100000;128;93681
100000;128;101420
100000;128;104268
100000;128;105424
100000;128;87595
100000;128;112626
100000;128;96776
100000;128;103715
100000;128;96425
100000;128;119331
100000;128;95958
100000;128;108599
100000;128;123669
100000;128;98447
100000;128;100900
100000;128;78175
100000;128;91917
100000;128;83506
100000;128;107636
100000;128;104483
100000;128;96773
100000;128;99417
100000;128;101301
100000;128;107092
100000;128;95067
100000;128;94840
100000;128;99079
100000;128;109661
100000;128;103750
100000;128;112209
100000;128;96837
100000;128;93290
100000;128;110520
100000;128;88404
100000;128;87048
100000;128;99852
100000;128;102395
100000;128;91105
100000;128;99165
100000;128;105307
100000;128;104684
