N;M;Output
10000;64;7566
10000;64;10478
10000;64;11459
10000;64;9230
10000;64;10774
10000;64;11201
10000;64;8867
10000;64;7939
10000;64;9286
10000;64;9122
10000;64;9954
10000;64;9298
10000;64;10880
10000;64;9081
10000;64;10491
10000;64;11545
10000;64;12786
10000;64;10755
10000;64;8694
10000;64;10439
10000;64;11524
10000;64;10978
10000;64;10716
10000;64;9282
10000;64;10948
10000;64;9347
10000;64;8867
10000;64;9942
10000;64;11788
10000;64;7475
10000;64;9511
10000;64;10471
10000;64;11865
10000;64;9418
10000;64;10239
10000;64;10203
10000;64;12992
10000;64;10189
10000;64;11876
10000;64;8022
10000;64;8196
10000;64;12415
10000;64;8452
10000;64;10096
10000;64;11024
10000;64;9890
10000;64;12089
10000;64;7256
10000;64;11264
10000;64;13629
10000;64;10335
10000;64;10598
10000;64;10803
10000;64;11205
10000;64;14427
10000;64;10319
10000;64;9587
10000;64;8276
10000;64;8541
10000;64;7975
10000;64;10779
10000;64;8488
10000;64;9411
10000;64;7396
10000;64;11972
10000;64;8369
10000;64;8561
10000;64;8907
10000;64;9025
10000;64;14286
10000;64;12377
10000;64;9504
10000;64;9556
10000;64;9302
10000;64;10061
10000;64;8958
10000;64;8533
10000;64;9355
10000;64;8586
10000;64;9183
10000;64;10357
10000;64;8993
10000;64;10205
10000;64;10416
10000;64;9822
10000;64;11847
10000;64;9190
10000;64;9831
10000;64;10096
10000;64;10088
10000;64;8861
10000;64;9002
10000;64;8343
10000;64;11812
10000;64;9528
10000;64;12094
10000;64;9429
10000;64;10842
10000;64;8904
10000;64;7760
10000;64;9372
10000;64;10172
10000;64;8736
10000;64;11109
10000;64;7597
10000;64;10712
10000;64;10017
10000;64;10933
10000;64;9424
10000;64;9269
10000;64;8166
10000;64;10857
10000;64;11653
10000;64;8655
10000;64;10272
10000;64;9804
10000;64;12361
10000;64;11225
10000;64;11752
10000;64;11153
10000;64;10834
10000;64;8801
10000;64;9299
10000;64;10694
10000;64;9504
10000;64;13024
10000;64;10960
10000;64;10434
10000;64;9050
10000;64;8388
10000;64;10006
10000;64;10167
10000;64;9712
10000;64;14065
10000;64;9941
10000;64;10063
10000;64;7904
10000;64;9595
10000;64;10540
10000;64;8273
10000;64;9618
10000;64;10928
10000;64;8699
10000;64;8035
10000;64;9846
10000;64;12900
10000;64;11073
10000;64;11954
10000;64;10685
10000;64;7660
10000;64;10038
10000;64;10731
10000;64;14044
10000;64;11689
10000;64;10352
10000;64;9648
10000;64;10616
10000;64;10597
10000;64;9616
10000;64;9996
10000;64;9563
10000;64;9960
10000;64;9136
10000;64;11260
10000;64;13477
10000;64;8964
10000;64;11203
10000;64;7690
10000;64;10723
10000;64;12362
10000;64;8821
10000;64;11544
10000;64;10119
10000;64;11675
10000;64;11497
10000;64;10828
10000;64;10071
10000;64;11717
10000;64;9636
