N;M;Output
10000;1024;9969
10000;1024;9871
10000;1024;9659
10000;1024;9741
10000;1024;9673
10000;1024;9344
10000;1024;10184
10000;1024;10153
10000;1024;10155
10000;1024;10041
10000;1024;9919
10000;1024;10010
10000;1024;10034
10000;1024;10097
10000;1024;10756
10000;1024;10073
10000;1024;9739
10000;1024;10353
10000;1024;9897
10000;1024;10229
10000;1024;10549
10000;1024;10505
10000;1024;10132
10000;1024;10322
10000;1024;9402
10000;1024;9538
10000;1024;10489
10000;1024;9661
10000;1024;9948
10000;1024;9848
10000;1024;9630
10000;1024;10173
10000;1024;10120
10000;1024;10305
10000;1024;9931
10000;1024;9670
10000;1024;10247
10000;1024;9797
10000;1024;10235
10000;1024;9699
10000;1024;10105
10000;1024;9937
10000;1024;10330
10000;1024;9901
10000;1024;9703
10000;1024;9425
10000;1024;10228
10000;1024;10006
10000;1024;9949
10000;1024;9719
10000;1024;9919
10000;1024;9664
10000;1024;9674
10000;1024;10388
10000;1024;10177
10000;1024;10109
10000;1024;10377
10000;1024;10187
10000;1024;9981
10000;1024;9764
10000;1024;9719
10000;1024;9862
10000;1024;9645
10000;1024;9821
10000;1024;9918
10000;1024;10180
10000;1024;10316
10000;1024;10258
10000;1024;10162
10000;1024;9597
10000;1024;10133
10000;1024;10281
10000;1024;10057
10000;1024;9541
10000;1024;9819
10000;1024;10145
10000;1024;9588
10000;1024;10153
10000;1024;10194
10000;1024;9769
10000;1024;10174
10000;1024;9891
10000;1024;9571
10000;1024;9902
10000;1024;9940
10000;1024;9917
10000;1024;10114
10000;1024;10002
10000;1024;10093
10000;1024;9895
10000;1024;10073
10000;1024;10027
10000;1024;9796
10000;1024;9934
10000;1024;9568
10000;1024;10255
10000;1024;10237
10000;1024;9966
10000;1024;10183
10000;1024;9994
10000;1024;10351
10000;1024;9844
10000;1024;9333
10000;1024;10334
10000;1024;10394
10000;1024;9996
10000;1024;10397
10000;1024;9550
10000;1024;9809
10000;1024;10275
10000;1024;10765
10000;1024;10263
10000;1024;10065
10000;1024;10002
10000;1024;9485
10000;1024;9864
10000;1024;9602
10000;1024;10166
10000;1024;10380
10000;1024;10029
10000;1024;10686
10000;1024;10073
10000;1024;10607
10000;1024;9910
10000;1024;9798
10000;1024;9623
10000;1024;9731
10000;1024;10516
10000;1024;10035
10000;1024;9719
10000;1024;10005
10000;1024;9604
10000;1024;10062
10000;1024;10164
10000;1024;10245
10000;1024;10013
10000;1024;9886
10000;1024;9589
10000;1024;9933
10000;1024;10031
10000;1024;10253
10000;1024;9947
10000;1024;10493
10000;1024;9690
10000;1024;10005
10000;1024;9832
10000;1024;9890
10000;1024;10095
10000;1024;10513
10000;1024;9788
10000;1024;9983
10000;1024;10048
10000;1024;10056
10000;1024;9599
10000;1024;9835
10000;1024;9863
10000;1024;9358
10000;1024;10382
10000;1024;10248
10000;1024;9581
10000;1024;10355
10000;1024;9820
10000;1024;9584
10000;1024;9913
10000;1024;9975
10000;1024;9623
10000;1024;10257
10000;1024;9979
10000;1024;9490
10000;1024;9953
10000;1024;9863
10000;1024;9645
10000;1024;9584
10000;1024;9547
10000;1024;10309
10000;1024;10343
10000;1024;9701
10000;1024;9886
10000;1024;9569
10000;1024;9501
10000;1024;10045
10000;1024;9812
10000;1024;9947
10000;1024;9853
10000;1024;9746
10000;1024;9533
10000;1024;9880
10000;1024;10073
10000;1024;9965
10000;1024;9972
10000;1024;9613
10000;1024;9848
10000;1024;10130
10000;1024;10096
10000;1024;10316
10000;1024;9943
10000;1024;9720
10000;1024;9935
10000;1024;9866
10000;1024;10029
10000;1024;10403
10000;1024;10330
10000;1024;10491
10000;1024;10607
10000;1024;10399
10000;1024;9572
10000;1024;10044
10000;1024;10249
10000;1024;9832
10000;1024;10343
10000;1024;9858
10000;1024;9988
10000;1024;9604
10000;1024;9853
10000;1024;10192
10000;1024;10109
10000;1024;9865
10000;1024;10013
10000;1024;9613
10000;1024;9797
10000;1024;10108
10000;1024;9699
10000;1024;9483
10000;1024;10127
10000;1024;10201
10000;1024;9531
10000;1024;9918
10000;1024;9693
10000;1024;10071
10000;1024;10082
10000;1024;10151
10000;1024;10326
10000;1024;10022
10000;1024;10185
10000;1024;10451
10000;1024;9780
10000;1024;10158
10000;1024;9641
10000;1024;10407
10000;1024;10483
10000;1024;10220
10000;1024;9631
10000;1024;10482
10000;1024;10039
10000;1024;10050
10000;1024;10098
10000;1024;10490
10000;1024;10531
10000;1024;10228
10000;1024;10292
10000;1024;10605
10000;1024;10793
10000;1024;9897
10000;1024;10190
10000;1024;9928
10000;1024;10053
10000;1024;10191
10000;1024;10433
10000;1024;9609
10000;1024;10013
10000;1024;10163
10000;1024;10093
10000;1024;9789
10000;1024;9654
10000;1024;9471
10000;1024;10099
10000;1024;10422
10000;1024;9322
10000;1024;10030
10000;1024;10216
10000;1024;10247
10000;1024;10236
10000;1024;9983
10000;1024;10073
10000;1024;10056
10000;1024;9856
10000;1024;9839
10000;1024;9751
10000;1024;9893
10000;1024;10370
10000;1024;9724
10000;1024;10010
10000;1024;9527
10000;1024;9962
10000;1024;9819
10000;1024;10620
10000;1024;10008
10000;1024;9990
10000;1024;9621
10000;1024;9663
10000;1024;9901
10000;1024;9278
10000;1024;9949
10000;1024;9737
10000;1024;9823
10000;1024;9310
10000;1024;9597
10000;1024;10351
10000;1024;9991
10000;1024;10067
10000;1024;10634
10000;1024;10371
10000;1024;9785
10000;1024;9919
10000;1024;10462
10000;1024;9998
10000;1024;9559
10000;1024;9940
10000;1024;9909
10000;1024;9977
10000;1024;10003
10000;1024;10004
10000;1024;9886
10000;1024;10230
10000;1024;9854
10000;1024;10240
10000;1024;9597
10000;1024;9963
10000;1024;10709
10000;1024;10039
10000;1024;10187
10000;1024;10138
10000;1024;10365
10000;1024;9794
10000;1024;10038
10000;1024;9608
10000;1024;10125
10000;1024;9693
10000;1024;10244
10000;1024;9556
10000;1024;9546
10000;1024;10184
10000;1024;10059
10000;1024;10722
10000;1024;9965
10000;1024;9925
10000;1024;10447
10000;1024;10279
10000;1024;10289
10000;1024;9680
10000;1024;10480
10000;1024;10133
10000;1024;10812
10000;1024;9569
10000;1024;9657
10000;1024;10143
10000;1024;9726
10000;1024;9970
10000;1024;9973
10000;1024;10000
10000;1024;9604
10000;1024;9870
10000;1024;10240
10000;1024;9868
10000;1024;10436
10000;1024;10862
10000;1024;10226
10000;1024;9904
10000;1024;9764
10000;1024;10111
10000;1024;10117
10000;1024;9994
10000;1024;9863
10000;1024;10249
10000;1024;10015
10000;1024;9583
10000;1024;10238
10000;1024;9630
10000;1024;10340
10000;1024;10206
10000;1024;9829
10000;1024;9939
10000;1024;10066
10000;1024;10364
10000;1024;9816
10000;1024;9752
10000;1024;9868
10000;1024;10002
10000;1024;10069
10000;1024;10097
10000;1024;9772
10000;1024;10250
10000;1024;9984
10000;1024;9920
10000;1024;9603
10000;1024;9934
10000;1024;9931
10000;1024;9734
10000;1024;10153
10000;1024;9884
10000;1024;9925
10000;1024;9601
10000;1024;9627
10000;1024;9701
10000;1024;9983
10000;1024;9635
10000;1024;9876
10000;1024;9949
10000;1024;9659
10000;1024;9646
10000;1024;9944
10000;1024;9395
10000;1024;9774
10000;1024;10066
10000;1024;9707
10000;1024;9922
10000;1024;9911
10000;1024;9756
10000;1024;10002
10000;1024;10212
10000;1024;9712
10000;1024;9465
10000;1024;10694
10000;1024;10112
10000;1024;10364
10000;1024;10637
10000;1024;9360
10000;1024;10234
10000;1024;10238
10000;1024;10294
10000;1024;9924
10000;1024;9985
10000;1024;10107
10000;1024;9527
10000;1024;9915
10000;1024;9706
10000;1024;10700
10000;1024;10429
10000;1024;9707
10000;1024;10580
10000;1024;9553
10000;1024;10140
10000;1024;10312
10000;1024;9727
10000;1024;9489
10000;1024;10064
10000;1024;10164
10000;1024;10152
10000;1024;9821
10000;1024;10220
10000;1024;10451
10000;1024;10293
10000;1024;10097
10000;1024;10212
10000;1024;9903
10000;1024;9900
10000;1024;9838
10000;1024;10065
10000;1024;10250
10000;1024;10053
10000;1024;10205
10000;1024;9575
10000;1024;10278
10000;1024;9553
10000;1024;10183
10000;1024;10157
10000;1024;10242
10000;1024;10005
10000;1024;10091
10000;1024;9727
10000;1024;9779
10000;1024;9907
10000;1024;10168
10000;1024;10306
10000;1024;9588
10000;1024;9852
10000;1024;10147
10000;1024;9791
10000;1024;10441
10000;1024;9574
10000;1024;9704
10000;1024;9565
10000;1024;9608
10000;1024;9682
10000;1024;9597
10000;1024;10039
10000;1024;9397
10000;1024;10028
10000;1024;9812
10000;1024;10350
10000;1024;9664
10000;1024;9543
10000;1024;9542
10000;1024;9833
10000;1024;10227
10000;1024;9765
10000;1024;9980
10000;1024;10428
10000;1024;9809
10000;1024;10076
10000;1024;9788
10000;1024;9352
10000;1024;10395
10000;1024;9894
10000;1024;10419
10000;1024;10226
10000;1024;10093
10000;1024;10177
10000;1024;10147
10000;1024;9977
10000;1024;10222
10000;1024;10393
10000;1024;9957
10000;1024;10250
10000;1024;10418
10000;1024;9733
10000;1024;10026
10000;1024;9604
10000;1024;9919
10000;1024;9969
10000;1024;10662
10000;1024;9825
10000;1024;10509
10000;1024;9802
10000;1024;10212
10000;1024;10157
10000;1024;9676
10000;1024;9514
10000;1024;9886
10000;1024;10103
10000;1024;10208
10000;1024;9823
10000;1024;9746
10000;1024;9928
10000;1024;10045
10000;1024;9692
10000;1024;10272
10000;1024;9525
10000;1024;10344
10000;1024;10441
10000;1024;10040
10000;1024;10419
10000;1024;9804
10000;1024;10080
10000;1024;10792
10000;1024;10097
10000;1024;10087
10000;1024;10010
10000;1024;9706
10000;1024;9439
10000;1024;10340
10000;1024;9137
10000;1024;10047
10000;1024;10188
10000;1024;10016
10000;1024;9843
10000;1024;10026
10000;1024;10085
10000;1024;10137
10000;1024;9914
10000;1024;10462
10000;1024;9671
10000;1024;9909
10000;1024;9788
10000;1024;9715
10000;1024;10179
10000;1024;10012
10000;1024;10556
10000;1024;9959
10000;1024;9987
10000;1024;10139
10000;1024;10136
10000;1024;10335
10000;1024;10012
10000;1024;9699
10000;1024;9919
10000;1024;9945
10000;1024;10674
10000;1024;10024
10000;1024;10073
10000;1024;10508
10000;1024;10199
10000;1024;9938
10000;1024;9649
10000;1024;9386
10000;1024;10111
10000;1024;10319
10000;1024;9775
10000;1024;9643
10000;1024;10076
10000;1024;9567
10000;1024;9802
10000;1024;9962
10000;1024;10024
10000;1024;10430
10000;1024;10059
10000;1024;9527
10000;1024;10060
10000;1024;10401
10000;1024;10155
10000;1024;9884
10000;1024;9939
10000;1024;9562
10000;1024;10016
10000;1024;9544
10000;1024;10026
10000;1024;10006
10000;1024;9786
10000;1024;9803
10000;1024;9745
10000;1024;9767
10000;1024;9859
10000;1024;10257
10000;1024;9928
10000;1024;10709
10000;1024;10472
10000;1024;9800
10000;1024;9938
10000;1024;9884
10000;1024;9543
10000;1024;10293
10000;1024;9705
10000;1024;10256
10000;1024;10062
10000;1024;9739
10000;1024;9910
10000;1024;10077
10000;1024;9616
10000;1024;9751
10000;1024;9908
10000;1024;9908
10000;1024;10032
10000;1024;9818
10000;1024;10548
10000;1024;10198
10000;1024;10127
10000;1024;9866
10000;1024;10477
10000;1024;10228
10000;1024;9880
10000;1024;10468
10000;1024;10252
10000;1024;10140
10000;1024;9893
10000;1024;9967
10000;1024;10192
10000;1024;10504
10000;1024;9882
10000;1024;10023
10000;1024;10143
10000;1024;9467
10000;1024;9814
10000;1024;10079
10000;1024;10042
10000;1024;10380
10000;1024;9699
10000;1024;9933
10000;1024;9646
10000;1024;10083
10000;1024;9848
10000;1024;10371
10000;1024;10015
10000;1024;10486
10000;1024;9760
10000;1024;10173
10000;1024;10199
10000;1024;9857
10000;1024;9975
10000;1024;10195
10000;1024;10209
10000;1024;9791
10000;1024;10041
10000;1024;10118
10000;1024;9853
10000;1024;9640
10000;1024;9961
