N;M;Output
10000;512;9576
10000;512;9242
10000;512;9805
10000;512;10786
10000;512;11221
10000;512;10203
10000;512;9371
10000;512;10249
10000;512;10176
10000;512;9813
10000;512;9511
10000;512;10067
10000;512;9824
10000;512;9362
10000;512;9819
10000;512;10224
10000;512;9377
10000;512;10264
10000;512;10398
10000;512;10066
10000;512;9941
10000;512;10367
10000;512;10563
10000;512;9846
10000;512;9643
10000;512;10190
10000;512;9357
10000;512;9507
10000;512;9223
10000;512;9531
10000;512;10031
10000;512;9443
10000;512;9763
10000;512;9145
10000;512;10189
10000;512;10580
10000;512;10158
10000;512;10007
10000;512;10221
10000;512;9411
10000;512;10167
10000;512;10089
10000;512;9812
10000;512;10351
10000;512;10672
10000;512;10032
10000;512;10527
10000;512;9859
10000;512;9878
10000;512;9986
10000;512;10502
10000;512;9583
10000;512;9748
10000;512;10130
10000;512;9425
10000;512;10333
10000;512;9520
10000;512;9738
10000;512;10256
10000;512;9790
10000;512;10043
10000;512;10871
10000;512;10341
10000;512;10080
10000;512;9955
10000;512;10393
10000;512;10256
10000;512;9937
10000;512;10533
10000;512;11022
10000;512;10181
10000;512;9704
10000;512;10342
10000;512;9234
10000;512;10073
10000;512;9608
10000;512;9601
10000;512;9907
10000;512;9949
10000;512;9380
10000;512;10223
10000;512;9753
10000;512;11011
10000;512;10031
10000;512;10442
10000;512;10415
10000;512;9166
10000;512;9988
10000;512;9703
10000;512;10017
10000;512;10450
10000;512;9975
10000;512;9932
10000;512;9903
10000;512;9704
10000;512;11005
10000;512;10060
10000;512;9887
10000;512;10187
10000;512;9534
10000;512;10368
10000;512;9492
10000;512;9566
10000;512;9048
10000;512;9962
10000;512;9807
10000;512;9646
10000;512;9462
10000;512;9553
10000;512;9831
10000;512;10415
10000;512;10025
10000;512;9945
10000;512;10281
10000;512;10629
10000;512;10236
10000;512;9607
10000;512;9564
10000;512;9794
10000;512;9919
10000;512;9659
10000;512;10146
10000;512;9116
10000;512;9415
10000;512;9143
10000;512;9888
10000;512;9541
10000;512;9425
10000;512;9951
10000;512;9690
10000;512;9468
10000;512;9980
10000;512;10442
10000;512;9389
10000;512;10211
10000;512;9893
10000;512;9845
10000;512;9437
10000;512;9570
10000;512;9364
10000;512;10307
10000;512;10380
10000;512;10439
10000;512;10394
10000;512;9772
10000;512;9683
10000;512;9804
10000;512;10327
10000;512;9434
10000;512;9820
10000;512;8968
10000;512;9886
10000;512;9970
10000;512;10320
10000;512;9265
10000;512;11099
10000;512;10111
10000;512;9961
10000;512;10315
10000;512;9497
10000;512;10638
10000;512;10870
10000;512;9461
10000;512;10176
10000;512;9312
10000;512;10483
10000;512;9249
10000;512;9784
10000;512;9896
10000;512;9969
10000;512;9844
10000;512;10996
10000;512;9812
10000;512;10292
10000;512;9579
10000;512;10031
10000;512;10737
10000;512;9777
10000;512;9532
10000;512;9724
10000;512;9003
10000;512;10207
10000;512;10381
10000;512;9751
10000;512;9943
10000;512;9798
10000;512;10735
10000;512;10127
10000;512;10766
10000;512;9981
10000;512;10188
10000;512;10347
10000;512;10192
10000;512;10160
10000;512;9798
10000;512;11064
10000;512;10263
10000;512;10211
10000;512;10025
10000;512;9709
10000;512;10127
10000;512;9800
10000;512;10592
10000;512;10460
10000;512;9685
10000;512;9681
10000;512;9542
10000;512;9411
10000;512;9598
10000;512;10718
10000;512;10175
10000;512;9842
10000;512;10556
10000;512;9689
10000;512;9573
10000;512;9612
10000;512;10472
10000;512;10160
10000;512;10882
10000;512;10244
10000;512;11028
10000;512;9905
10000;512;10184
10000;512;10886
10000;512;9565
10000;512;10127
10000;512;9907
10000;512;9843
10000;512;10321
10000;512;11406
10000;512;10364
10000;512;9792
10000;512;9531
10000;512;10234
10000;512;9016
10000;512;10040
10000;512;10493
10000;512;10092
10000;512;9449
10000;512;10186
10000;512;10122
10000;512;10599
10000;512;10619
10000;512;10218
10000;512;10007
10000;512;10179
10000;512;10967
10000;512;10043
10000;512;9935
10000;512;10065
10000;512;10065
10000;512;9834
10000;512;10115
10000;512;9699
10000;512;10349
10000;512;9946
10000;512;10143
10000;512;9390
10000;512;10235
10000;512;9416
10000;512;10517
10000;512;9499
10000;512;10682
10000;512;9499
10000;512;9925
10000;512;10155
10000;512;9640
10000;512;10171
10000;512;9957
10000;512;9866
10000;512;10555
10000;512;10247
10000;512;9603
10000;512;9436
10000;512;10494
10000;512;9705
10000;512;10285
10000;512;10293
10000;512;9830
10000;512;10719
10000;512;9939
10000;512;9927
10000;512;9905
10000;512;9795
10000;512;9747
10000;512;10035
10000;512;9441
10000;512;10102
10000;512;10151
10000;512;9602
10000;512;9828
10000;512;9977
10000;512;9593
10000;512;9861
10000;512;9712
10000;512;10445
10000;512;9854
10000;512;9677
10000;512;10021
10000;512;10293
10000;512;10459
10000;512;9957
10000;512;9910
10000;512;9466
10000;512;9990
10000;512;9766
10000;512;10041
10000;512;9902
10000;512;10117
10000;512;9851
10000;512;9976
10000;512;9897
10000;512;9931
10000;512;10665
10000;512;10346
10000;512;9708
10000;512;9599
10000;512;10198
10000;512;10677
10000;512;9276
10000;512;10222
10000;512;9773
10000;512;10171
10000;512;9925
10000;512;9909
10000;512;10189
10000;512;9902
10000;512;9395
10000;512;10214
10000;512;10052
10000;512;10575
10000;512;10317
10000;512;9422
10000;512;9933
10000;512;10430
10000;512;9510
10000;512;9971
10000;512;9934
10000;512;10323
10000;512;10535
10000;512;9831
10000;512;9446
10000;512;9833
10000;512;9381
10000;512;10039
10000;512;10353
10000;512;10167
10000;512;9898
10000;512;9918
10000;512;9498
10000;512;9923
10000;512;9494
10000;512;10122
10000;512;10052
10000;512;9112
10000;512;10518
10000;512;10048
10000;512;9144
10000;512;9564
10000;512;9530
10000;512;10452
10000;512;10924
10000;512;10505
10000;512;9972
10000;512;9553
10000;512;9794
10000;512;10370
10000;512;9593
10000;512;10434
10000;512;9777
10000;512;9446
10000;512;9508
10000;512;10238
10000;512;10756
10000;512;10097
10000;512;10118
10000;512;10486
10000;512;9372
10000;512;9981
10000;512;10111
10000;512;9926
10000;512;9749
10000;512;10103
10000;512;9435
10000;512;10130
10000;512;9733
10000;512;10571
10000;512;9771
10000;512;9930
10000;512;9177
10000;512;9690
10000;512;10312
10000;512;10060
10000;512;9922
10000;512;10281
10000;512;10311
10000;512;10237
10000;512;10401
10000;512;9868
10000;512;10221
10000;512;9880
10000;512;10577
10000;512;10272
10000;512;10432
10000;512;9807
10000;512;10737
10000;512;9463
10000;512;9804
10000;512;9415
10000;512;10271
10000;512;10806
10000;512;10380
10000;512;10966
10000;512;10056
10000;512;9708
10000;512;10051
10000;512;9902
10000;512;10654
10000;512;9932
10000;512;10315
10000;512;10367
10000;512;10564
10000;512;10283
10000;512;9979
10000;512;10041
10000;512;9937
10000;512;10684
10000;512;9276
10000;512;9946
10000;512;9653
10000;512;10361
10000;512;9917
10000;512;10215
10000;512;9441
10000;512;10175
10000;512;9325
10000;512;10310
10000;512;9691
10000;512;9481
10000;512;10510
10000;512;10506
10000;512;9633
10000;512;9252
10000;512;9400
10000;512;9860
10000;512;10178
10000;512;9893
10000;512;9714
10000;512;10193
10000;512;10289
10000;512;10105
10000;512;9715
10000;512;9896
10000;512;9814
10000;512;11023
10000;512;10660
10000;512;9634
10000;512;9368
10000;512;10447
10000;512;11081
10000;512;9693
10000;512;9866
10000;512;9900
10000;512;9979
10000;512;9880
10000;512;10004
10000;512;9687
10000;512;9716
10000;512;10631
10000;512;9200
10000;512;10516
10000;512;10812
10000;512;10630
10000;512;10394
10000;512;10598
10000;512;9925
10000;512;10022
10000;512;9483
10000;512;10288
10000;512;9563
10000;512;8604
10000;512;10297
10000;512;9387
10000;512;9165
10000;512;9408
10000;512;10271
10000;512;9614
10000;512;9719
10000;512;9909
10000;512;9698
10000;512;9681
10000;512;10161
10000;512;10086
10000;512;9182
10000;512;10075
10000;512;10069
10000;512;9575
10000;512;9879
10000;512;9871
10000;512;10019
10000;512;9390
10000;512;10096
10000;512;10154
10000;512;9199
10000;512;9655
10000;512;10574
10000;512;10563
10000;512;9614
10000;512;9908
10000;512;9964
10000;512;9391
10000;512;10240
10000;512;10593
10000;512;10474
10000;512;9342
10000;512;10786
10000;512;10698
10000;512;9927
10000;512;9610
10000;512;10260
10000;512;9835
10000;512;10008
10000;512;10533
10000;512;10520
10000;512;9878
10000;512;10180
10000;512;9247
10000;512;10502
10000;512;9313
10000;512;9604
10000;512;9762
10000;512;9748
10000;512;9671
10000;512;10156
10000;512;11001
10000;512;9817
10000;512;10343
10000;512;11025
10000;512;10390
10000;512;10053
10000;512;9846
10000;512;9227
10000;512;10011
10000;512;9283
10000;512;9408
10000;512;9731
10000;512;9481
10000;512;9902
10000;512;10279
10000;512;10294
10000;512;10611
10000;512;10356
10000;512;9114
10000;512;10251
10000;512;10353
10000;512;9530
10000;512;9640
10000;512;9420
10000;512;10460
10000;512;10635
10000;512;10500
10000;512;8993
10000;512;9627
10000;512;10639
10000;512;9623
10000;512;10233
10000;512;10728
10000;512;11199
10000;512;10787
10000;512;10189
10000;512;10576
10000;512;10344
10000;512;9353
10000;512;9684
10000;512;9994
10000;512;10189
10000;512;9790
10000;512;10612
10000;512;10007
10000;512;9909
10000;512;9788
10000;512;10118
10000;512;9467
10000;512;9568
10000;512;9962
10000;512;9554
10000;512;9533
10000;512;10484
10000;512;9770
10000;512;9774
10000;512;9803
10000;512;9947
10000;512;11128
10000;512;9750
10000;512;10456
10000;512;10420
10000;512;9479
10000;512;9699
10000;512;10268
10000;512;9646
10000;512;9690
10000;512;9943
10000;512;10259
10000;512;9669
10000;512;9655
10000;512;9861
10000;512;9328
10000;512;9949
10000;512;10503
10000;512;9945
10000;512;10934
10000;512;9391
10000;512;9992
10000;512;10375
10000;512;9815
10000;512;10092
10000;512;9966
10000;512;9763
10000;512;10228
10000;512;9641
10000;512;9695
10000;512;10435
10000;512;9763
10000;512;10565
10000;512;10235
10000;512;10727
10000;512;9761
10000;512;9632
10000;512;10078
10000;512;9242
10000;512;10216
10000;512;9230
10000;512;9932
10000;512;10062
10000;512;9755
10000;512;9447
10000;512;9516
10000;512;10014
10000;512;10194
10000;512;10161
10000;512;9768
10000;512;9898
10000;512;10018
10000;512;9711
10000;512;9994
10000;512;11306
10000;512;9576
10000;512;9964
10000;512;9787
10000;512;9704
10000;512;10077
10000;512;10334
10000;512;9166
10000;512;9860
10000;512;10279
10000;512;9984
10000;512;9549
10000;512;9995
10000;512;9994
10000;512;10744
10000;512;10910
10000;512;11002
10000;512;10570
10000;512;9129
10000;512;10590
10000;512;10194
10000;512;9770
10000;512;10812
10000;512;9841
10000;512;9974
10000;512;9990
10000;512;10538
10000;512;10557
10000;512;9764
10000;512;9521
10000;512;10158
10000;512;10065
10000;512;10019
10000;512;10125
10000;512;9307
10000;512;9670
10000;512;10415
10000;512;10407
10000;512;9607
10000;512;9965
10000;512;10384
10000;512;10259
10000;512;9890
10000;512;10363
10000;512;9850
10000;512;10088
10000;512;10001
10000;512;10320
10000;512;9691
10000;512;9782
10000;512;10330
10000;512;9112
10000;512;10047
10000;512;9489
10000;512;9365
10000;512;8884
10000;512;9717
10000;512;9985
10000;512;9650
10000;512;10269
10000;512;10461
10000;512;9868
10000;512;9962
10000;512;10121
10000;512;9585
10000;512;10141
10000;512;9142
10000;512;10202
10000;512;10312
10000;512;10417
10000;512;9967
10000;512;9622
10000;512;10472
10000;512;10282
10000;512;10498
10000;512;10007
