N;M;Output
10000;256;9914
10000;256;10196
10000;256;10256
10000;256;10656
10000;256;11043
10000;256;9709
10000;256;9246
10000;256;9544
10000;256;10045
10000;256;10843
10000;256;10790
10000;256;10865
10000;256;9435
10000;256;10173
10000;256;11273
10000;256;9842
10000;256;10158
10000;256;9709
10000;256;10781
10000;256;9823
10000;256;10404
10000;256;8499
10000;256;10253
10000;256;10093
10000;256;10046
10000;256;8984
10000;256;9094
10000;256;10614
10000;256;9663
10000;256;9416
10000;256;9864
10000;256;9615
10000;256;10002
10000;256;10378
10000;256;10820
10000;256;9200
10000;256;10373
10000;256;10042
10000;256;8901
10000;256;9411
10000;256;10539
10000;256;9951
10000;256;9468
10000;256;10911
10000;256;10645
10000;256;11170
10000;256;10305
10000;256;10629
10000;256;10476
10000;256;9512
10000;256;9455
10000;256;9203
10000;256;10285
10000;256;9955
10000;256;9477
10000;256;10413
10000;256;10110
10000;256;9030
10000;256;10517
10000;256;9696
10000;256;10967
10000;256;10519
10000;256;10066
10000;256;9791
10000;256;10151
10000;256;11180
10000;256;10835
10000;256;9257
10000;256;9687
10000;256;9546
10000;256;9988
10000;256;9957
10000;256;10196
10000;256;9299
10000;256;10326
10000;256;10447
10000;256;9157
10000;256;9958
10000;256;10194
10000;256;9069
10000;256;9103
10000;256;9608
10000;256;10110
10000;256;10601
10000;256;9325
10000;256;9836
10000;256;10641
10000;256;10829
10000;256;9821
10000;256;9322
10000;256;10375
10000;256;8875
10000;256;12059
10000;256;10222
10000;256;10188
10000;256;11287
10000;256;9675
10000;256;10452
10000;256;10116
10000;256;9435
10000;256;9692
10000;256;10412
10000;256;10533
10000;256;8532
10000;256;10032
10000;256;10558
10000;256;9328
10000;256;8977
10000;256;10502
10000;256;10210
10000;256;10294
10000;256;10103
10000;256;10267
10000;256;10318
10000;256;9784
10000;256;10514
10000;256;10268
10000;256;10231
10000;256;9302
10000;256;9283
10000;256;9232
10000;256;10291
10000;256;10207
10000;256;11008
10000;256;10217
10000;256;9793
10000;256;10636
10000;256;9549
10000;256;10136
10000;256;10075
10000;256;9491
10000;256;9602
10000;256;9505
10000;256;10093
10000;256;9718
10000;256;9931
10000;256;9830
10000;256;9767
10000;256;10091
10000;256;10157
10000;256;11707
10000;256;9796
10000;256;10152
10000;256;10102
10000;256;10127
10000;256;9488
10000;256;10015
10000;256;9473
10000;256;9997
10000;256;10877
10000;256;9952
10000;256;9757
10000;256;10039
10000;256;9961
10000;256;9025
10000;256;9385
10000;256;10585
10000;256;9750
10000;256;8976
10000;256;9646
10000;256;10447
10000;256;9552
10000;256;10260
10000;256;10101
10000;256;9038
10000;256;9880
10000;256;9998
10000;256;10055
10000;256;10527
10000;256;9509
10000;256;10131
10000;256;10015
10000;256;10666
10000;256;9944
10000;256;10191
10000;256;9625
10000;256;9827
10000;256;9279
10000;256;10274
10000;256;10435
10000;256;9989
10000;256;9808
10000;256;10145
10000;256;9388
10000;256;9466
10000;256;10477
10000;256;10316
10000;256;10040
10000;256;10075
10000;256;9432
10000;256;10078
10000;256;10710
10000;256;10394
10000;256;10152
10000;256;9839
10000;256;9648
10000;256;9962
10000;256;10645
10000;256;9424
10000;256;9258
10000;256;9743
10000;256;10432
10000;256;11499
10000;256;10229
10000;256;9081
10000;256;9218
10000;256;10026
10000;256;9884
10000;256;9073
10000;256;10682
10000;256;9128
10000;256;9395
10000;256;10949
10000;256;9804
10000;256;9813
10000;256;9822
10000;256;10229
10000;256;9737
10000;256;9767
10000;256;10809
10000;256;9194
10000;256;8809
10000;256;9420
10000;256;10204
10000;256;9213
10000;256;11047
10000;256;8985
10000;256;10416
10000;256;9656
10000;256;9319
10000;256;9914
10000;256;9738
10000;256;10347
10000;256;10417
10000;256;10079
10000;256;10418
10000;256;10287
10000;256;10366
10000;256;10342
10000;256;8881
10000;256;9995
10000;256;10532
10000;256;9714
10000;256;9688
10000;256;11176
10000;256;9560
10000;256;9247
10000;256;11143
10000;256;10574
10000;256;9433
10000;256;10274
10000;256;9555
10000;256;10736
10000;256;10256
10000;256;9659
10000;256;9820
10000;256;9687
10000;256;10843
10000;256;10307
10000;256;10495
10000;256;11235
10000;256;9103
10000;256;10980
10000;256;10197
10000;256;10635
10000;256;10502
10000;256;9117
10000;256;8550
10000;256;9841
10000;256;9733
10000;256;9568
10000;256;10423
10000;256;10172
10000;256;10212
10000;256;10790
10000;256;8866
10000;256;9582
10000;256;10377
10000;256;8650
10000;256;11817
10000;256;9321
10000;256;9316
10000;256;9803
10000;256;9806
10000;256;9887
10000;256;9436
10000;256;9058
10000;256;9695
10000;256;9402
10000;256;9567
10000;256;9807
10000;256;9740
10000;256;9535
10000;256;10222
10000;256;9792
10000;256;10495
10000;256;10162
10000;256;10084
10000;256;11229
10000;256;9520
10000;256;9282
10000;256;12033
10000;256;9073
10000;256;9390
10000;256;10193
10000;256;9885
10000;256;10346
10000;256;10247
10000;256;8964
10000;256;9456
10000;256;8169
10000;256;9089
10000;256;9385
10000;256;10263
10000;256;9254
10000;256;10155
10000;256;9807
10000;256;8817
10000;256;10074
10000;256;8658
10000;256;8678
10000;256;9753
10000;256;9008
10000;256;9455
10000;256;10389
10000;256;9332
10000;256;9919
10000;256;10528
10000;256;9359
10000;256;10058
10000;256;9265
10000;256;10062
10000;256;9736
10000;256;9167
10000;256;9831
10000;256;8939
10000;256;9235
10000;256;10825
10000;256;10592
10000;256;10566
10000;256;9967
10000;256;10583
10000;256;9332
10000;256;9930
10000;256;10411
10000;256;10275
10000;256;10061
10000;256;10641
10000;256;10259
10000;256;10148
10000;256;9373
10000;256;10462
10000;256;8875
10000;256;9848
10000;256;9665
10000;256;11026
10000;256;10138
10000;256;10626
10000;256;10284
10000;256;10206
10000;256;9103
10000;256;11153
10000;256;10983
10000;256;9448
10000;256;9718
10000;256;8569
10000;256;9373
10000;256;9250
10000;256;10416
10000;256;10136
10000;256;10865
10000;256;10410
10000;256;10639
10000;256;9839
10000;256;9334
10000;256;10011
10000;256;9528
10000;256;9569
10000;256;9732
10000;256;10071
10000;256;10297
10000;256;9134
10000;256;10001
10000;256;9490
10000;256;9522
10000;256;9294
10000;256;9806
10000;256;9564
10000;256;10295
10000;256;9589
10000;256;9409
10000;256;10240
10000;256;9379
10000;256;9723
10000;256;10065
10000;256;9821
10000;256;10722
10000;256;9306
10000;256;10298
10000;256;9559
10000;256;9005
10000;256;10270
10000;256;11060
10000;256;10878
10000;256;10107
10000;256;10337
10000;256;11212
10000;256;9354
10000;256;9644
10000;256;10375
10000;256;9892
10000;256;9687
10000;256;10844
10000;256;10254
10000;256;10349
10000;256;9165
10000;256;10091
10000;256;9704
10000;256;9500
10000;256;10221
10000;256;9473
10000;256;9437
10000;256;10199
10000;256;9576
10000;256;10921
10000;256;10611
10000;256;9451
10000;256;10211
10000;256;10239
10000;256;9624
10000;256;9215
10000;256;10176
10000;256;11246
10000;256;9115
10000;256;10877
10000;256;9881
10000;256;9115
10000;256;9492
10000;256;9896
10000;256;9912
10000;256;10836
10000;256;10209
10000;256;10679
