N;M;Output
10000;128;11106
10000;128;10043
10000;128;9639
10000;128;8442
10000;128;9910
10000;128;11074
10000;128;9928
10000;128;9063
10000;128;10038
10000;128;11355
10000;128;10502
10000;128;9200
10000;128;8597
10000;128;10310
10000;128;8964
10000;128;10918
10000;128;11174
10000;128;7987
10000;128;10423
10000;128;11291
10000;128;8646
10000;128;9417
10000;128;9545
10000;128;10773
10000;128;10614
10000;128;9948
10000;128;9390
10000;128;9793
10000;128;10737
10000;128;10413
10000;128;9013
10000;128;9976
10000;128;9609
10000;128;8741
10000;128;9864
10000;128;10529
10000;128;9556
10000;128;10496
10000;128;9053
10000;128;11314
10000;128;11285
10000;128;8926
10000;128;9637
10000;128;8204
10000;128;8276
10000;128;11447
10000;128;10232
10000;128;9833
10000;128;9268
10000;128;9576
10000;128;10399
10000;128;9434
10000;128;9251
10000;128;11225
10000;128;10769
10000;128;8963
10000;128;10183
10000;128;9663
10000;128;10956
10000;128;10948
10000;128;10369
10000;128;8464
10000;128;10516
10000;128;7374
10000;128;8882
10000;128;11749
10000;128;10365
10000;128;9975
10000;128;8632
10000;128;11600
10000;128;10019
10000;128;10013
10000;128;10352
10000;128;9925
10000;128;10850
10000;128;11659
10000;128;9679
10000;128;10083
10000;128;10205
10000;128;10416
10000;128;10131
10000;128;9870
10000;128;9613
10000;128;9388
10000;128;8817
10000;128;10816
10000;128;10234
10000;128;10016
10000;128;10384
10000;128;9107
10000;128;10341
10000;128;10562
10000;128;8806
10000;128;11092
10000;128;8162
10000;128;9684
10000;128;11381
10000;128;9258
10000;128;8462
10000;128;11636
10000;128;10364
10000;128;9321
10000;128;9555
10000;128;8845
10000;128;10255
10000;128;10357
10000;128;9663
10000;128;10457
10000;128;11736
10000;128;11801
10000;128;9417
10000;128;9193
10000;128;9261
10000;128;11492
10000;128;11192
10000;128;10518
10000;128;9964
10000;128;8867
10000;128;9786
10000;128;9435
10000;128;11825
10000;128;12129
10000;128;11059
10000;128;9537
10000;128;10182
10000;128;8201
10000;128;10179
10000;128;10393
10000;128;10502
10000;128;10888
10000;128;9004
10000;128;10284
10000;128;9826
10000;128;11657
10000;128;10358
10000;128;10257
10000;128;10258
10000;128;8721
10000;128;10737
10000;128;9256
10000;128;7648
10000;128;10291
10000;128;11347
10000;128;9452
10000;128;10723
10000;128;9049
10000;128;10014
10000;128;9308
10000;128;10702
10000;128;9375
10000;128;8870
10000;128;8993
10000;128;9618
10000;128;9616
10000;128;9738
10000;128;9564
10000;128;10517
10000;128;9948
10000;128;10625
10000;128;11120
10000;128;11465
10000;128;11016
10000;128;11941
10000;128;9802
10000;128;11023
10000;128;10847
10000;128;11467
10000;128;11089
10000;128;9620
